* Measurement data measured by REW V5.20.7
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 3:08:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Harman2015OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2015OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
433.362396 88.796 5.6356
436.502716 88.806 5.7009
439.665802 88.815 5.7659
442.851807 88.825 5.8308
446.060883 88.834 5.8953
449.293213 88.844 5.9597
452.548981 88.854 6.0237
455.828339 88.864 6.0873
459.131470 88.874 6.1507
462.458527 88.884 6.2135
465.809692 88.894 6.2761
469.185150 88.905 6.3381
472.585052 88.914 6.3998
476.009613 88.925 6.4609
479.458984 88.936 6.5216
482.933350 88.946 6.5817
486.432892 88.957 6.6413
489.957794 88.968 6.7005
493.508240 88.977 6.7591
497.084412 88.988 6.8173
500.686493 88.999 6.8749
504.314667 89.010 6.9320
507.969147 89.021 6.9887
511.650085 89.031 7.0448
515.357727 89.042 7.1004
519.092224 89.052 7.1556
522.853760 89.063 7.2105
526.642578 89.073 7.2649
530.458862 89.084 7.3189
534.302795 89.095 7.3726
538.174561 89.106 7.4261
542.074402 89.116 7.4793
546.002502 89.127 7.5323
549.959045 89.137 7.5851
553.944275 89.148 7.6379
557.958374 89.158 7.6906
562.001587 89.169 7.7434
566.074097 89.179 7.7963
570.176086 89.188 7.8493
574.307800 89.199 7.9025
578.469482 89.209 7.9560
582.661316 89.219 8.0098
586.883545 89.229 8.0641
591.136353 89.240 8.1187
595.419983 89.250 8.1738
599.734619 89.260 8.2296
604.080566 89.270 8.2859
608.458008 89.281 8.3428
612.867126 89.291 8.4003
617.308228 89.302 8.4585
621.781494 89.312 8.5175
626.287170 89.323 8.5771
630.825500 89.333 8.6374
635.396729 89.344 8.6984
640.001099 89.355 8.7600
644.638794 89.366 8.8224
649.310120 89.378 8.8854
654.015259 89.389 8.9490
658.754517 89.401 9.0132
663.528137 89.413 9.0778
668.336365 89.425 9.1428
673.179382 89.438 9.2083
678.057495 89.450 9.2741
682.971008 89.463 9.3400
687.920105 89.476 9.4061
692.905029 89.489 9.4723
697.926086 89.504 9.5386
702.983521 89.517 9.6047
708.077637 89.531 9.6706
713.208679 89.545 9.7363
718.376892 89.561 9.8016
723.582520 89.575 9.8664
728.825867 89.590 9.9308
734.107239 89.606 9.9947
739.426880 89.622 10.0579
744.785095 89.638 10.1205
750.182129 89.655 10.1822
755.618286 89.671 10.2433
761.093811 89.688 10.3035
766.609009 89.705 10.3629
772.164185 89.722 10.4214
777.759583 89.739 10.4789
783.395569 89.757 10.5355
789.072388 89.774 10.5914
794.790344 89.792 10.6463
800.549744 89.810 10.7003
806.350830 89.828 10.7536
812.193970 89.846 10.8062
818.079468 89.865 10.8580
824.007629 89.883 10.9093
829.978699 89.901 10.9601
835.993042 89.920 11.0104
842.050964 89.939 11.0603
848.152832 89.957 11.1102
854.298889 89.975 11.1599
860.489502 89.994 11.2098
866.724976 90.012 11.2597
873.005615 90.031 11.3101
879.331787 90.048 11.3610
885.703796 90.066 11.4127
892.121948 90.083 11.4652
898.586609 90.099 11.5185
905.098145 90.114 11.5732
911.656860 90.130 11.6292
918.263123 90.144 11.6867
924.917236 90.156 11.7460
931.619568 90.168 11.8071
938.370483 90.180 11.8703
945.170288 90.189 11.9356
952.019409 90.198 12.0033
958.918152 90.205 12.0735
965.866882 90.213 12.1462
972.865967 90.220 12.2216
979.915771 90.226 12.2998
987.016663 90.232 12.3810
994.169006 90.238 12.4651
1001.373169 90.244 12.5522
1008.629517 90.250 12.6422
1015.938477 90.257 12.7356
1023.300415 90.263 12.8320
1030.715698 90.271 12.9316
1038.184692 90.279 13.0343
1045.707764 90.287 13.1399
1053.285400 90.296 13.2486
1060.917969 90.306 13.3602
1068.605835 90.317 13.4747
1076.349365 90.328 13.5919
1084.149048 90.341 13.7115
1092.005249 90.355 13.8337
1099.918335 90.369 13.9581
1107.888794 90.385 14.0847
1115.916992 90.403 14.2133
1124.003418 90.423 14.3435
1132.148438 90.445 14.4754
1140.352417 90.468 14.6086
1148.615845 90.493 14.7430
1156.939209 90.520 14.8782
1165.322876 90.549 15.0142
1173.767334 90.581 15.1506
1182.272949 90.614 15.2872
1190.840210 90.649 15.4238
1199.469482 90.686 15.5604
1208.161377 90.724 15.6964
1216.916260 90.764 15.8317
1225.734497 90.804 15.9662
1234.616699 90.847 16.0996
1243.563232 90.890 16.2318
1252.574585 90.933 16.3624
1261.651245 90.978 16.4913
1270.793701 91.023 16.6183
1280.002441 91.070 16.7432
1289.277832 91.118 16.8659
1298.620483 91.166 16.9860
1308.030762 91.215 17.1037
1317.509277 91.264 17.2185
1327.056519 91.314 17.3303
1336.672974 91.366 17.4391
1346.359009 91.418 17.5446
1356.115234 91.471 17.6467
1365.942261 91.524 17.7453
1375.840454 91.578 17.8402
1385.810303 91.633 17.9314
1395.852417 91.690 18.0185
1405.967285 91.747 18.1017
1416.155518 91.804 18.1806
1426.417603 91.863 18.2551
1436.754028 91.922 18.3251
1447.165283 91.982 18.3906
1457.652100 92.044 18.4512
1468.214844 92.106 18.5068
1478.854126 92.168 18.5574
1489.570557 92.233 18.6026
1500.364624 92.297 18.6424
1511.236938 92.363 18.6764
1522.187988 92.430 18.7047
1533.218384 92.498 18.7268
1544.328735 92.566 18.7428
1555.519531 92.636 18.7522
1566.791504 92.707 18.7548
1578.145142 92.779 18.7505
1589.581055 92.852 18.7390
1601.099854 92.925 18.7202
1612.702026 93.001 18.6936
1624.388306 93.077 18.6592
1636.159302 93.154 18.6169
1648.015625 93.232 18.5667
1659.957886 93.312 18.5084
1671.986572 93.392 18.4422
1684.102417 93.474 18.3689
1696.306152 93.556 18.2892
1708.598267 93.639 18.2044
1720.979492 93.724 18.1167
1733.450439 93.809 18.0290
1746.011719 93.896 17.9450
1758.664062 93.984 17.8684
1771.408081 94.073 17.8018
1784.244385 94.163 17.7441
1797.173706 94.253 17.6888
1810.196777 94.345 17.6254
1823.314209 94.438 17.5420
1836.526733 94.532 17.4301
1849.834961 94.628 17.2864
1863.239624 94.725 17.1118
1876.741455 94.824 16.9096
1890.341064 94.925 16.6836
1904.039307 95.029 16.4367
1917.836792 95.136 16.1714
1931.734253 95.246 15.8889
1945.732422 95.359 15.5904
1959.832031 95.475 15.2761
1974.033813 95.595 14.9461
1988.338501 95.716 14.6001
2002.746826 95.841 14.2384
2017.259521 95.968 13.8603
2031.877441 96.096 13.4653
2046.601318 96.226 13.0535
2061.431885 96.356 12.6243
2076.369873 96.486 12.1774
2091.416016 96.617 11.7125
2106.571289 96.747 11.2292
2121.836426 96.876 10.7275
2137.212158 97.004 10.2071
2152.699219 97.132 9.6678
2168.298584 97.259 9.1096
2184.010986 97.385 8.5323
2199.837158 97.510 7.9357
2215.778076 97.633 7.3203
2231.834473 97.755 6.6857
2248.007324 97.877 6.0322
2264.297363 97.997 5.3600
2280.705322 98.116 4.6691
2297.232178 98.235 3.9599
2313.878906 98.353 3.2327
2330.646240 98.469 2.4877
2347.535156 98.583 1.7254
2364.546387 98.694 0.9460
2381.680908 98.800 0.1500
2398.939453 98.901 -0.6622
2416.323242 98.995 -1.4902
2433.833008 99.083 -2.3334
2451.469482 99.167 -3.1916
2469.233887 99.248 -4.0638
2487.126953 99.326 -4.9499
2505.149658 99.402 -5.8496
2523.302979 99.478 -6.7621
2541.587891 99.552 -7.6869
2560.005371 99.625 -8.6238
2578.556152 99.696 -9.5721
2597.241455 99.767 -10.5315
2616.062256 99.834 -11.5015
2635.019287 99.899 -12.4816
2654.113770 99.963 -13.4714
2673.346680 100.024 -14.4703
2692.718750 100.082 -15.4782
2712.231201 100.138 -16.4944
2731.885254 100.190 -17.5188
2751.681641 100.239 -18.5503
2771.621582 100.284 -19.5892
2791.705811 100.327 -20.6346
2811.935547 100.366 -21.6861
2832.312012 100.401 -22.7434
2852.836182 100.434 -23.8057
2873.509033 100.462 -24.8730
2894.331543 100.488 -25.9446
2915.305176 100.510 -27.0199
2936.430664 100.528 -28.0986
2957.709229 100.545 -29.1802
2979.142090 100.557 -30.2642
3000.730225 100.567 -31.3501
3022.474854 100.575 -32.4374
3044.376953 100.578 -33.5258
3066.437744 100.580 -34.6148
3088.658447 100.579 -35.7037
3111.040039 100.575 -36.7924
3133.583984 100.569 -37.8802
3156.291260 100.560 -38.9668
3179.163086 100.547 -40.0516
3202.200684 100.531 -41.1344
3225.405029 100.513 -42.2147
3248.777588 100.492 -43.2921
3272.319580 100.467 -44.3662
3296.032227 100.439 -45.4367
3319.916748 100.406 -46.5033
3343.974121 100.371 -47.5655
3368.206055 100.334 -48.6229
3392.613525 100.292 -49.6754
3417.197754 100.248 -50.7226
3441.960205 100.202 -51.7642
3466.902100 100.153 -52.7998
3492.024658 100.102 -53.8296
3517.329346 100.049 -54.8526
3542.817383 99.995 -55.8696
3568.489990 99.939 -56.8798
3594.348633 99.882 -57.8830
3620.394775 99.824 -58.8793
3646.629639 99.765 -59.8684
3673.054688 99.704 -60.8500
3699.671143 99.643 -61.8244
3726.480469 99.581 -62.7912
3753.484131 99.519 -63.7504
3780.683350 99.455 -64.7019
3808.079834 99.391 -65.6459
3835.674805 99.326 -66.5822
3863.469727 99.261 -67.5109
3891.466064 99.195 -68.4319
3919.665283 99.129 -69.3453
3948.068848 99.062 -70.2513
3976.678223 98.995 -71.1496
4005.494873 98.927 -72.0406
4034.520264 98.858 -72.9246
4063.756104 98.789 -73.8012
4093.203857 98.721 -74.6708
4122.864746 98.651 -75.5335
4152.740723 98.582 -76.3896
4182.833008 98.512 -77.2391
4213.143555 98.442 -78.0822
4243.673828 98.372 -78.9189
4274.425293 98.302 -79.7499
4305.399414 98.232 -80.5750
4336.598145 98.161 -81.3945
