* Measurement data measured by REW V5.20.13
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 10, 2022 12:20:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,895 Hz log spaced
* Measurement: Harman 2018
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3820.000000	98.423	0.0000
3870.000000	98.373	0.0000
3950.000000	98.292	0.0000
4000.000000	98.235	0.0000
4060.000000	98.158	0.0000
4120.000000	98.074	0.0000
4180.000000	97.991	0.0000
4250.000000	97.887	0.0000
4310.000000	97.787	0.0000
4370.000000	97.681	0.0000
4440.000000	97.559	0.0000
4500.000000	97.452	0.0000
4550.000000	97.359	0.0000
4620.000000	97.227	0.0000
4680.000000	97.114	0.0000
4750.000000	96.983	0.0000
4820.000000	96.849	0.0000
4870.000000	96.752	0.0000
4940.000000	96.619	0.0000
5000.000000	96.512	0.0000
5080.000000	96.381	0.0000
5150.000000	96.273	0.0000
5220.000000	96.166	0.0000
5300.000000	96.046	0.0000
5380.000000	95.929	0.0000
5450.000000	95.828	0.0000
5520.000000	95.729	0.0000
5600.000000	95.623	0.0000
5700.000000	95.505	0.0000
5800.000000	95.397	0.0000
5900.000000	95.290	0.0000
6000.000000	95.175	0.0000
6080.000000	95.065	0.0000
6150.000000	94.963	0.0000
6220.000000	94.861	0.0000
6300.000000	94.751	0.0000
6400.000000	94.623	0.0000
6500.000000	94.502	0.0000
6600.000000	94.382	0.0000
6700.000000	94.259	0.0000
6800.000000	94.130	0.0000
6900.000000	93.998	0.0000
7000.000000	93.866	0.0000
7100.000000	93.729	0.0000
7200.000000	93.583	0.0000
7300.000000	93.433	0.0000
7400.000000	93.284	0.0000
7500.000000	93.141	0.0000
7620.000000	92.977	0.0000
7750.000000	92.806	0.0000
7880.000000	92.638	0.0000
8000.000000	92.481	0.0000
8120.000000	92.317	0.0000
8250.000000	92.137	0.0000
8380.000000	91.958	0.0000
8500.000000	91.790	0.0000
8620.000000	91.615	0.0000
8750.000000	91.422	0.0000
8850.000000	91.274	0.0000
9000.000000	91.049	0.0000
9120.000000	90.862	0.0000
9250.000000	90.654	0.0000
9380.000000	90.447	0.0000
9500.000000	90.251	0.0000
9620.000000	90.042	0.0000
9750.000000	89.809	0.0000
9880.000000	89.577	0.0000
10000.000000	89.367	0.0000
10150.000000	89.111	0.0000
10300.000000	88.862	0.0000
10440.000000	88.632	0.0000
10600.000000	88.363	0.0000
10750.000000	88.098	0.0000
10900.000000	87.828	0.0000
11060.000000	87.542	0.0000
11200.000000	87.287	0.0000
11380.000000	86.948	0.0000
11500.000000	86.720	0.0000
11720.000000	86.311	0.0000
11800.000000	86.169	0.0000
12060.000000	85.736	0.0000
12200.000000	85.513	0.0000
12410.000000	85.185	0.0000
12500.000000	85.046	0.0000
12650.000000	84.818	0.0000
12800.000000	84.593	0.0000
13150.000000	84.087	0.0000
13200.000000	84.019	0.0000
13400.000000	83.765	0.0000
13600.000000	83.526	0.0000
13800.000000	83.295	0.0000
14000.000000	83.073	0.0000
14300.000000	82.768	0.0000
14500.000000	82.576	0.0000
14750.000000	82.341	0.0000
15000.000000	82.093	0.0000
15250.000000	81.809	0.0000
15500.000000	81.511	0.0000
15750.000000	81.213	0.0000
16000.000000	80.877	0.0000
16250.000000	80.473	0.0000
16500.000000	80.036	0.0000
16750.000000	79.589	0.0000
17000.000000	79.086	0.0000
17250.000000	78.476	0.0000
17500.000000	77.805	0.0000
17750.000000	77.123	0.0000
18000.000000	76.377	0.0000
18250.000000	75.461	0.0000
18500.000000	74.466	0.0000
18750.000000	73.453	0.0000
19000.000000	72.361	0.0000
19250.000000	71.115	0.0000
19500.000000	69.658	0.0000
19750.000000	67.458	0.0000
