* Measurement data measured by REW V5.20.5
* Source: /Users/griff/Desktop/REW Curves/Harman2013OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 1, 2022 1:57:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW Curves/Harman2013OE.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Harman2013OE
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
397.395081 88.876 4.5377
400.274780 88.887 4.5634
403.175323 88.897 4.5894
406.096893 88.908 4.6157
409.039642 88.918 4.6423
412.003723 88.929 4.6693
414.989258 88.939 4.6965
417.996429 88.950 4.7238
421.025391 88.960 4.7514
424.076324 88.971 4.7790
427.149353 88.981 4.8066
430.244659 88.992 4.8341
433.362396 89.002 4.8616
436.502716 89.013 4.8888
439.665802 89.024 4.9158
442.851807 89.034 4.9424
446.060883 89.045 4.9687
449.293213 89.056 4.9944
452.548981 89.067 5.0196
455.828339 89.078 5.0442
459.131470 89.089 5.0681
462.458527 89.100 5.0914
465.809692 89.111 5.1140
469.185150 89.122 5.1358
472.585052 89.133 5.1568
476.009613 89.144 5.1770
479.458984 89.155 5.1964
482.933350 89.166 5.2150
486.432892 89.177 5.2329
489.957794 89.188 5.2500
493.508240 89.199 5.2664
497.084412 89.210 5.2821
500.686493 89.220 5.2972
504.314667 89.231 5.3116
507.969147 89.242 5.3255
511.650085 89.252 5.3389
515.357727 89.263 5.3518
519.092224 89.273 5.3643
522.853760 89.283 5.3764
526.642578 89.293 5.3883
530.458862 89.303 5.3999
534.302795 89.314 5.4113
538.174561 89.323 5.4226
542.074402 89.333 5.4339
546.002502 89.343 5.4451
549.959045 89.353 5.4564
553.944275 89.362 5.4677
557.958374 89.372 5.4792
562.001587 89.382 5.4910
566.074097 89.391 5.5029
570.176086 89.401 5.5152
574.307800 89.410 5.5278
578.469482 89.419 5.5408
582.661316 89.429 5.5543
586.883545 89.438 5.5683
591.136353 89.448 5.5827
595.419983 89.457 5.5978
599.734619 89.467 5.6134
604.080566 89.476 5.6296
608.458008 89.486 5.6465
612.867126 89.496 5.6640
617.308228 89.505 5.6822
621.781494 89.515 5.7010
626.287170 89.525 5.7205
630.825500 89.535 5.7407
635.396729 89.546 5.7613
640.001099 89.556 5.7826
644.638794 89.567 5.8045
649.310120 89.578 5.8268
654.015259 89.589 5.8496
658.754517 89.601 5.8727
663.528137 89.612 5.8961
668.336365 89.624 5.9197
673.179382 89.636 5.9434
678.057495 89.649 5.9671
682.971008 89.662 5.9907
687.920105 89.675 6.0142
692.905029 89.688 6.0373
697.926086 89.702 6.0600
702.983521 89.716 6.0822
708.077637 89.730 6.1038
713.208679 89.744 6.1246
718.376892 89.759 6.1446
723.582520 89.774 6.1639
728.825867 89.789 6.1820
734.107239 89.804 6.1990
739.426880 89.819 6.2150
744.785095 89.835 6.2297
750.182129 89.851 6.2432
755.618286 89.866 6.2554
761.093811 89.882 6.2663
766.609009 89.898 6.2760
772.164185 89.913 6.2843
777.759583 89.929 6.2914
783.395569 89.944 6.2973
789.072388 89.959 6.3021
794.790344 89.975 6.3057
800.549744 89.989 6.3084
806.350830 90.004 6.3102
812.193970 90.018 6.3112
818.079468 90.032 6.3115
