Freq[Hz]     dBSPL  Phase[Deg]
10540.1     60.333   -59.084
10693.4     60.208   -59.090
10848.9     60.086   -59.103
11006.7     59.960   -59.113
11166.8     59.834   -59.112
11329.2     59.706   -59.091
11494.0     59.579   -59.043
11661.2     59.456   -58.985
11830.8     59.334   -58.925
12002.9     59.211   -58.859
12177.5     59.090   -58.794
12354.6     58.959   -58.700
12534.3     58.831   -58.549
12716.6     58.710   -58.372
12901.6     58.589   -58.173
13089.2     58.473   -57.944
13279.6     58.366   -57.708
13472.8     58.259   -57.468
13668.8     58.159   -57.219
13867.6     58.059   -56.959
14069.3     57.969   -56.694
14273.9     57.882   -56.441
14481.5     57.799   -56.194
14692.2     57.723   -55.970
14905.9     57.643   -55.762
15122.7     57.566   -55.555
15342.7     57.488   -55.350
15565.8     57.410   -55.126
15792.2     57.341   -54.892
16021.9     57.275   -54.663
16255.0     57.216   -54.450
16491.4     57.159   -54.255
16731.3     57.106   -54.077
16974.7     57.056   -53.921
17221.6     57.006   -53.777
17472.1     56.964   -53.652
17726.2     56.923   -53.563
17984.0     56.883   -53.498
18245.6     56.847   -53.465
18511.0     56.812   -53.478
18780.2     56.772   -53.517
19053.4     56.734   -53.570
19330.5     56.701   -53.661
19611.7     56.667   -53.810
19897.0     56.631   -54.017
20186.4     56.589   -54.281
20480.0     56.535   -54.586
20777.9     56.467   -54.896
21080.1     56.388   -55.178
21386.7     56.304   -55.419
21697.8     56.218   -55.624
22013.4     56.132   -55.802
22333.6     56.046   -55.963
22658.4     55.960   -56.110
22988.0     55.874   -56.247
23322.4     55.788   -56.374
23661.6     55.702   -56.494
24005.8     55.616   -56.607
24355.0     55.530   -56.715
24709.2     55.443   -56.818
25068.6     55.357   -56.916
25433.2     55.271   -57.011
25803.2     55.185   -57.102
26178.5     55.099   -57.189
26559.3     55.013   -57.273
26945.6     54.927   -57.355
27337.5     54.841   -57.434
27735.2     54.755   -57.511
28138.6     54.669   -57.586
28547.9     54.583   -57.659
28963.1     54.497   -57.729
29384.4     54.411   -57.798
29811.8     54.325   -57.865
30245.4     54.239   -57.931
30685.3     54.153   -57.995
31131.7     54.067   -58.057
31584.5     53.981   -58.118
32043.9     53.895   -58.178
32510.0     53.809   -58.237
32982.8     53.722   -58.294
33462.6     53.636   -58.350
33949.3     53.550   -58.405
34443.1     53.464   -58.459
34944.1     53.378   -58.513
35452.4     53.292   -58.565
35968.0     53.206   -58.616
36491.2     53.120   -58.667
37022.0     53.034   -58.717
37560.5     52.948   -58.767
38106.8     52.870   -58.814
38661.1     52.800   -58.859
39223.4     52.747   -58.894
39793.9     52.707   -58.922
