* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/Harman 2019.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 17, 2022 6:40:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/Harman 2019.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: Harman 2019
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
54.500000	108.469543	0
55.200001	108.392090	0
56.000000	108.295914	0
57.000000	108.199554	0
58.000000	108.109718	0
59.000000	108.073372	0
60.000000	108.097023	0
60.799999	107.964851	0
61.500000	107.856430	0
62.200001	107.749947	0
63.000000	107.648438	0
64.000000	107.623016	0
65.000000	107.529480	0
66.000000	107.350113	0
67.000000	107.171318	0
68.000000	107.112106	0
69.000000	107.039169	0
70.000000	106.979019	0
71.000000	106.920486	0
72.000000	106.811501	0
73.000000	106.689659	0
74.000000	106.620804	0
75.000000	106.572784	0
76.199997	106.432541	0
77.500000	106.291641	0
78.800003	106.239525	0
80.000000	106.138588	0
81.199997	106.093407	0
82.500000	105.988647	0
83.800003	105.859261	0
85.000000	105.745361	0
86.199997	105.709496	0
87.500000	105.606560	0
88.500000	105.579681	0
90.000000	105.559685	0
91.199997	105.460724	0
92.500000	105.325043	0
93.800003	105.291473	0
95.000000	105.205841	0
96.199997	105.098900	0
97.500000	105.037689	0
98.800003	104.979622	0
100.000000	104.890511	0
101.500000	104.767982	0
103.000000	104.647011	0
104.400002	104.530533	0
106.000000	104.403412	0
107.500000	104.300850	0
109.000000	104.267761	0
110.599998	104.251770	0
112.000000	104.152672	0
113.800003	104.114861	0
115.000000	104.026459	0
117.199997	103.850067	0
118.000000	103.825790	0
120.599998	103.720169	0
122.000000	103.571213	0
124.099998	103.486252	0
125.000000	103.467590	0
126.500000	103.392326	0
128.000000	103.342354	0
131.500000	103.168373	0
132.000000	103.153412	0
134.000000	103.076782	0
136.000000	102.937012	0
138.000000	102.804733	0
140.000000	102.723785	0
143.000000	102.599289	0
145.000000	102.555397	0
147.500000	102.405991	0
150.000000	102.256699	0
152.500000	102.158722	0
155.000000	102.071671	0
157.500000	101.930267	0
160.000000	101.796623	0
162.500000	101.742889	0
165.000000	101.635033	0
167.500000	101.583900	0
170.000000	101.570496	0
172.500000	101.451553	0
175.000000	101.339615	0
177.500000	101.313477	0
180.000000	101.201653	0
182.500000	101.085724	0
185.000000	101.062035	0
187.500000	100.968697	0
190.000000	100.863625	0
192.500000	100.763283	0
195.000000	100.736832	0
197.500000	100.779305	0
200.000000	100.780098	0
203.000000	100.731384	0
206.000000	100.705612	0
209.000000	100.696732	0
212.000000	100.746689	0
214.000000	100.761917	0
218.000000	100.708618	0
220.000000	100.718544	0
224.000000	100.629608	0
227.000000	100.553421	0
230.000000	100.479263	0
233.000000	100.402496	0
236.000000	100.402779	0
240.000000	100.288925	0
243.000000	100.352112	0
247.000000	100.298294	0
250.000000	100.233345	0
254.000000	100.233238	0
258.000000	100.176781	0
262.000000	100.109390	0
265.000000	100.119667	0
269.000000	100.157524	0
272.000000	100.131760	0
276.000000	100.061066	0
280.000000	100.050537	0
285.000000	100.026222	0
290.000000	100.051163	0
295.000000	100.016945	0
300.000000	100.029541	0
304.000000	100.013557	0
307.000000	100.037857	0
311.000000	99.925468	0
315.000000	99.856613	0
320.000000	99.883133	0
325.000000	99.951088	0
330.000000	99.908981	0
335.000000	99.856781	0
340.000000	99.817017	0
345.000000	99.857300	0
350.000000	99.826515	0
355.000000	99.878044	0
360.000000	99.927193	0
365.000000	99.891129	0
370.000000	99.772766	0
375.000000	99.803276	0
382.000000	99.884827	0
387.000000	99.871948	0
395.000000	99.849289	0
400.000000	99.842636	0
406.000000	99.867027	0
412.000000	99.933853	0
418.000000	99.904381	0
425.000000	99.951996	0
431.000000	99.994423	0
437.000000	99.977211	0
444.000000	99.956375	0
450.000000	99.992195	0
455.000000	100.040283	0
462.000000	100.024872	0
468.000000	100.017975	0
475.000000	100.014122	0
482.000000	100.002777	0
487.000000	100.004616	0
494.000000	100.005234	0
500.000000	100.002541	0
508.000000	100.086990	0
515.000000	100.102882	0
522.000000	100.101593	0
530.000000	100.103706	0
538.000000	100.020454	0
545.000000	100.080658	0
552.000000	100.126297	0
560.000000	100.067719	0
570.000000	100.037781	0
580.000000	100.154938	0
590.000000	100.112152	0
600.000000	100.185707	0
608.000000	100.138397	0
615.000000	100.161598	0
622.000000	100.184814	0
630.000000	100.216911	0
640.000000	100.260483	0
