* Measurement data measured by REW V5.20.3
* Format: Comma/Tab/Space delimited data
* Dated: 21-Oct-2021 09:02:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VSG Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1315.000000	62.586	0.0000
1320.000000	62.630	0.0000
1340.000000	62.802	0.0000
1360.000000	62.973	0.0000
1380.000000	63.143	0.0000
1400.000000	63.311	0.0000
1430.000000	63.558	0.0000
1450.000000	63.719	0.0000
1475.000000	63.913	0.0000
1500.000000	64.100	0.0000
1525.000000	64.280	0.0000
1550.000000	64.452	0.0000
1575.000000	64.618	0.0000
1600.000000	64.777	0.0000
1625.000000	64.930	0.0000
1650.000000	65.077	0.0000
1675.000000	65.218	0.0000
1700.000000	65.354	0.0000
1725.000000	65.485	0.0000
1750.000000	65.610	0.0000
1775.000000	65.731	0.0000
1800.000000	65.845	0.0000
1825.000000	65.954	0.0000
1850.000000	66.058	0.0000
1875.000000	66.157	0.0000
1900.000000	66.251	0.0000
1925.000000	66.339	0.0000
1950.000000	66.423	0.0000
1975.000000	66.503	0.0000
2000.000000	66.579	0.0000
2030.000000	66.665	0.0000
2060.000000	66.747	0.0000
2090.000000	66.824	0.0000
2120.000000	66.897	0.0000
2140.000000	66.944	0.0000
2180.000000	67.033	0.0000
2200.000000	67.075	0.0000
2240.000000	67.156	0.0000
2270.000000	67.212	0.0000
2300.000000	67.266	0.0000
2330.000000	67.316	0.0000
2360.000000	67.363	0.0000
2400.000000	67.421	0.0000
2430.000000	67.461	0.0000
2470.000000	67.508	0.0000
2500.000000	67.540	0.0000
2540.000000	67.576	0.0000
2580.000000	67.607	0.0000
2620.000000	67.630	0.0000
2650.000000	67.643	0.0000
2690.000000	67.654	0.0000
2720.000000	67.658	0.0000
2760.000000	67.656	0.0000
2800.000000	67.647	0.0000
2850.000000	67.622	0.0000
2900.000000	67.585	0.0000
2950.000000	67.534	0.0000
3000.000000	67.470	0.0000
3040.000000	67.410	0.0000
3070.000000	67.359	0.0000
3110.000000	67.286	0.0000
3150.000000	67.206	0.0000
3200.000000	67.100	0.0000
3250.000000	66.987	0.0000
3300.000000	66.868	0.0000
3350.000000	66.745	0.0000
3400.000000	66.619	0.0000
3450.000000	66.490	0.0000
3500.000000	66.359	0.0000
3550.000000	66.226	0.0000
3600.000000	66.091	0.0000
3650.000000	65.954	0.0000
3700.000000	65.816	0.0000
3750.000000	65.676	0.0000
3820.000000	65.479	0.0000
3870.000000	65.338	0.0000
3950.000000	65.110	0.0000
4000.000000	64.967	0.0000
4060.000000	64.794	0.0000
4120.000000	64.622	0.0000
4180.000000	64.449	0.0000
4250.000000	64.248	0.0000
4310.000000	64.076	0.0000
4370.000000	63.905	0.0000
4440.000000	63.707	0.0000
4500.000000	63.540	0.0000
4550.000000	63.403	0.0000
4620.000000	63.215	0.0000
4680.000000	63.059	0.0000
4750.000000	62.885	0.0000
4820.000000	62.720	0.0000
4870.000000	62.610	0.0000
4940.000000	62.468	0.0000
5000.000000	62.359	0.0000
