* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
962.000000	93.381	15.0530
975.000000	93.435	15.6304
988.000000	93.491	16.1829
1000.000000	93.544	16.6585
1015.000000	93.614	17.2035
1030.000000	93.685	17.6991
1044.000000	93.750	18.1362
1060.000000	93.818	18.6026
1075.000000	93.874	18.9932
1090.000000	93.934	19.3380
1106.000000	94.007	19.6772
1120.000000	94.073	19.9549
1138.000000	94.157	20.2754
1150.000000	94.211	20.4655
1172.000000	94.298	20.7853
1180.000000	94.325	20.8976
1206.000000	94.395	21.2549
1220.000000	94.424	21.4329
1241.000000	94.479	21.6833
1250.000000	94.515	21.7952
1265.000000	94.599	21.9957
1280.000000	94.712	22.1978
1315.000000	94.990	22.6404
1320.000000	95.023	22.7053
1340.000000	95.131	22.9729
1360.000000	95.203	23.2499
1380.000000	95.252	23.5362
1400.000000	95.295	23.8213
1430.000000	95.363	24.2543
1450.000000	95.411	24.5647
1475.000000	95.472	24.9857
1500.000000	95.533	25.4119
1525.000000	95.597	25.8372
1550.000000	95.668	26.2883
1575.000000	95.742	26.7631
1600.000000	95.816	27.2369
1625.000000	95.894	27.7085
1650.000000	95.975	28.1849
1675.000000	96.061	28.6735
1700.000000	96.155	29.1578
1725.000000	96.255	29.6229
1750.000000	96.357	30.0801
1775.000000	96.460	30.5356
1800.000000	96.566	30.9770
1825.000000	96.680	31.3947
1850.000000	96.804	31.7891
1875.000000	96.934	32.1597
1900.000000	97.069	32.5061
1925.000000	97.209	32.8284
1950.000000	97.351	33.1221
1975.000000	97.494	33.3810
2000.000000	97.643	33.6084
2030.000000	97.831	33.8328
2060.000000	98.026	33.9868
2090.000000	98.224	34.0708
2120.000000	98.424	34.0923
2140.000000	98.563	34.0682
2180.000000	98.856	33.9019
2200.000000	99.006	33.7561
2240.000000	99.304	33.3470
2270.000000	99.527	32.9367
2300.000000	99.754	32.4263
2330.000000	99.986	31.8032
2360.000000	100.218	31.0623
2400.000000	100.516	29.8996
2430.000000	100.727	28.9039
2470.000000	100.997	27.4011
2500.000000	101.192	26.1288
2540.000000	101.438	24.2551
2580.000000	101.654	22.2214
2620.000000	101.836	20.0490
2650.000000	101.952	18.3317
2690.000000	102.077	15.9453
2720.000000	102.143	14.1141
2760.000000	102.194	11.6658
2800.000000	102.205	9.2473
2850.000000	102.167	6.3055
2900.000000	102.083	3.5181
2950.000000	101.956	0.9542
3000.000000	101.788	-1.3411
3040.000000	101.631	-2.9651
3070.000000	101.503	-4.0593
3110.000000	101.324	-5.3480
3150.000000	101.145	-6.4279
3200.000000	100.922	-7.4833
3250.000000	100.708	-8.2437
3300.000000	100.518	-8.7729
3350.000000	100.361	-9.1467
3400.000000	100.231	-9.4258
3450.000000	100.117	-9.6418
3500.000000	100.014	-9.8120
3550.000000	99.920	-9.9514
3600.000000	99.838	-10.0641
3650.000000	99.768	-10.1356
3700.000000	99.713	-10.1693
3750.000000	99.680	-10.1901
3820.000000	99.674	-10.2284
3870.000000	99.700	-10.2693
3950.000000	99.786	-10.4065
4000.000000	99.862	-10.5609
4060.000000	99.960	-10.8442
4120.000000	100.049	-11.2653
4180.000000	100.116	-11.8373
4250.000000	100.166	-12.7117
4310.000000	100.180	-13.6549
4370.000000	100.166	-14.7667
4440.000000	100.114	-16.2596
4500.000000	100.036	-17.6821
4550.000000	99.940	-18.9280
4620.000000	99.755	-20.6894
4680.000000	99.550	-22.1390
4750.000000	99.258	-23.6609
4820.000000	98.914	-24.8880
4870.000000	98.641	-25.5223
4940.000000	98.228	-26.0033
5000.000000	97.859	-25.9951
5080.000000	97.369	-25.3453
5150.000000	96.966	-24.1836
