* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:05:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
335.000000	94.535	-14.7451
340.000000	94.504	-14.5719
345.000000	94.462	-14.3709
350.000000	94.420	-14.1456
355.000000	94.384	-13.9246
360.000000	94.355	-13.7408
365.000000	94.329	-13.5688
370.000000	94.298	-13.3574
375.000000	94.264	-13.1156
382.000000	94.222	-12.8083
387.000000	94.201	-12.6185
395.000000	94.159	-12.2990
400.000000	94.125	-12.0917
406.000000	94.089	-11.8480
412.000000	94.064	-11.6086
418.000000	94.035	-11.3718
425.000000	93.986	-11.0950
431.000000	93.942	-10.8623
437.000000	93.909	-10.6279
444.000000	93.876	-10.3236
450.000000	93.850	-10.0450
455.000000	93.826	-9.8254
462.000000	93.790	-9.5463
468.000000	93.762	-9.3086
475.000000	93.729	-8.9954
482.000000	93.689	-8.6506
487.000000	93.660	-8.4156
494.000000	93.629	-8.1215
500.000000	93.605	-7.8735
508.000000	93.565	-7.5097
515.000000	93.531	-7.1758
522.000000	93.507	-6.8458
530.000000	93.479	-6.4731
538.000000	93.435	-6.1006
545.000000	93.398	-5.7725
552.000000	93.373	-5.4417
560.000000	93.355	-5.0443
570.000000	93.320	-4.5375
580.000000	93.263	-4.0382
590.000000	93.210	-3.5292
600.000000	93.178	-3.0082
608.000000	93.162	-2.6039
615.000000	93.148	-2.2454
622.000000	93.130	-1.8720
630.000000	93.108	-1.4250
640.000000	93.083	-0.8558
650.000000	93.054	-0.3123
660.000000	93.019	0.2203
670.000000	92.992	0.8104
680.000000	92.972	1.4107
690.000000	92.946	2.0013
700.000000	92.916	2.6199
710.000000	92.902	3.2408
720.000000	92.899	3.8060
730.000000	92.884	4.3397
740.000000	92.857	4.9417
750.000000	92.842	5.6564
762.000000	92.847	6.5159
775.000000	92.834	7.1857
788.000000	92.813	7.8392
800.000000	92.825	8.7624
812.000000	92.848	9.7402
825.000000	92.859	10.4443
838.000000	92.867	10.9966
850.000000	92.888	11.7668
862.000000	92.910	12.7230
875.000000	92.925	13.5914
885.000000	92.940	14.0714
900.000000	92.987	14.7618
912.000000	93.033	15.4745
925.000000	93.077	16.3099
938.000000	93.120	17.0378
950.000000	93.170	17.5828
962.000000	93.229	18.0792
975.000000	93.291	18.6523
988.000000	93.347	19.2667
1000.000000	93.399	19.8091
1015.000000	93.472	20.3907
1030.000000	93.553	20.8671
1044.000000	93.625	21.2910
1060.000000	93.697	21.8066
1075.000000	93.757	22.2600
1090.000000	93.823	22.6106
1106.000000	93.906	22.9073
1120.000000	93.982	23.1660
1138.000000	94.074	23.5113
1150.000000	94.131	23.7188
1172.000000	94.227	24.0265
1180.000000	94.257	24.1252
1206.000000	94.331	24.4690
1220.000000	94.361	24.6662
1241.000000	94.421	24.9322
1250.000000	94.460	25.0369
1265.000000	94.549	25.2114
1280.000000	94.667	25.3970
1315.000000	94.947	25.8740
1320.000000	94.980	25.9455
1340.000000	95.090	26.2284
1360.000000	95.167	26.5078
1380.000000	95.221	26.8011
1400.000000	95.264	27.1169
1430.000000	95.330	27.6381
1450.000000	95.384	27.9867
1475.000000	95.457	28.4186
1500.000000	95.528	28.8767
1525.000000	95.600	29.3665
1550.000000	95.677	29.8601
1575.000000	95.765	30.3455
1600.000000	95.856	30.8382
1625.000000	95.946	31.3348
1650.000000	96.036	31.8364
1675.000000	96.130	32.3400
1700.000000	96.237	32.8273
1725.000000	96.356	33.2823
1750.000000	96.474	33.7256
1775.000000	96.588	34.1907
1800.000000	96.704	34.6504
1825.000000	96.832	35.0650
1850.000000	96.973	35.4306
1875.000000	97.120	35.7689
1900.000000	97.271	36.0968
1925.000000	97.423	36.4044
1950.000000	97.576	36.6729
1975.000000	97.734	36.8930
2000.000000	97.901	37.0633
2030.000000	98.110	37.2061
2060.000000	98.323	37.2926
2090.000000	98.540	37.3046
2120.000000	98.762	37.2115
2140.000000	98.916	37.0982
2180.000000	99.233	36.7720
2200.000000	99.392	36.5493
2240.000000	99.714	35.9373
2270.000000	99.957	35.3279
2300.000000	100.196	34.6074
2330.000000	100.429	33.7891
2360.000000	100.659	32.8577
2400.000000	100.964	31.3898
2430.000000	101.186	30.1168
2470.000000	101.455	28.2488
2500.000000	101.632	26.7437
2540.000000	101.841	24.5743
2580.000000	102.028	22.1996
2620.000000	102.183	19.6674
2650.000000	102.266	17.7271
2690.000000	102.324	15.1395
2720.000000	102.332	13.2064
2760.000000	102.312	10.6464
2800.000000	102.262	8.1604
2850.000000	102.145	5.2867
2900.000000	101.967	2.7629
2950.000000	101.756	0.6057
3000.000000	101.533	-1.2003
3040.000000	101.353	-2.3983
3070.000000	101.215	-3.1583
3110.000000	101.032	-4.0039
3150.000000	100.857	-4.6907
3200.000000	100.657	-5.3771
3250.000000	100.476	-5.8893
3300.000000	100.314	-6.2393
3350.000000	100.172	-6.4535
3400.000000	100.050	-6.5620
3450.000000	99.946	-6.5834
3500.000000	99.853	-6.5229
3550.000000	99.773	-6.3936
3600.000000	99.715	-6.2362
3650.000000	99.684	-6.0834
3700.000000	99.678	-5.9290
3750.000000	99.693	-5.7773
3820.000000	99.760	-5.6409
3870.000000	99.849	-5.6450
3950.000000	100.048	-5.8661
4000.000000	100.189	-6.1510
4060.000000	100.358	-6.6792
4120.000000	100.516	-7.4581
4180.000000	100.652	-8.5233
4250.000000	100.770	-10.1287
4310.000000	100.825	-11.8082
4370.000000	100.828	-13.7505
4440.000000	100.765	-16.2849
4500.000000	100.647	-18.6078
4550.000000	100.498	-20.5842
4620.000000	100.214	-23.2979
4680.000000	99.898	-25.4491
4750.000000	99.449	-27.6016
4820.000000	98.931	-29.2531
4870.000000	98.529	-30.0742
4940.000000	97.938	-30.6606
5000.000000	97.418	-30.6112
5080.000000	96.726	-29.7388
5150.000000	96.145	-28.2179
5220.000000	95.614	-26.0255
5300.000000	95.104	-22.8059
5380.000000	94.749	-19.0284
5450.000000	94.611	-15.5803
5520.000000	94.659	-12.4960
5600.000000	94.891	-10.1509
5700.000000	95.221	-9.7667
5800.000000	95.308	-11.6340
5900.000000	95.036	-13.8390
6000.000000	94.511	-14.8787
6080.000000	94.018	-14.6015
6150.000000	93.586	-13.6580
6220.000000	93.180	-12.2097
6300.000000	92.771	-10.0883
6400.000000	92.359	-6.9135
6500.000000	92.051	-3.3098
6600.000000	91.841	0.5862
6700.000000	91.747	4.6761
6800.000000	91.796	8.9525
6900.000000	92.029	13.1590
7000.000000	92.382	16.6785
7100.000000	92.792	19.7576
7200.000000	93.316	22.5999
7300.000000	93.999	24.9927
7400.000000	94.828	26.7068
7500.000000	95.770	27.4770
7620.000000	96.999	26.6611
7750.000000	98.311	22.8417
7880.000000	99.351	15.2822
8000.000000	99.828	5.3303
8120.000000	99.712	-5.7588
8250.000000	98.956	-16.3879
8380.000000	97.781	-23.7168
8500.000000	96.568	-27.3227
8620.000000	95.397	-28.4583
8750.000000	94.295	-27.6842
8850.000000	93.592	-26.1030
9000.000000	92.742	-22.6741
9120.000000	92.207	-19.3347
9250.000000	91.772	-15.4045
9380.000000	91.477	-11.3918
9500.000000	91.301	-7.7786
9620.000000	91.201	-4.3868
9750.000000	91.170	-1.1134
9880.000000	91.186	1.6240
10000.000000	91.205	3.6575
10150.000000	91.176	5.7332
10300.000000	91.063	7.7239
10440.000000	90.937	9.7111
10600.000000	90.816	11.8601
10750.000000	90.660	13.5946
10900.000000	90.420	15.4439
11060.000000	90.142	18.0244
11200.000000	89.979	20.7950
11380.000000	89.956	24.4807
11500.000000	90.053	26.5631
11720.000000	90.377	28.7739
11800.000000	90.505	28.9927
12060.000000	90.801	28.2617
12200.000000	90.882	27.6219
12410.000000	91.006	27.2173
12500.000000	91.092	27.3322
12650.000000	91.322	27.8284
12800.000000	91.706	28.4798
13150.000000	93.266	28.2941
13200.000000	93.538	27.7674
13400.000000	94.588	23.4211
13600.000000	95.284	14.8470
13800.000000	95.282	3.3258
14000.000000	94.483	-7.2196
14300.000000	92.389	-14.3987
14500.000000	90.965	-13.2748
14750.000000	89.537	-7.4984
15000.000000	88.578	1.0684
15250.000000	88.065	10.8703
15500.000000	87.926	20.4670
15750.000000	88.092	27.9498
16000.000000	88.473	31.2051
16250.000000	88.929	29.5534
16500.000000	89.372	24.2290
16750.000000	89.703	16.7223
17000.000000	89.844	8.0023
17250.000000	89.854	-0.9263
17500.000000	89.872	-9.3841
17750.000000	89.941	-17.6456
18000.000000	89.924	-26.1609
18250.000000	89.583	-34.2789
18500.000000	88.786	-40.1003
18750.000000	87.674	-42.0322
19000.000000	86.481	-40.3320
19250.000000	85.252	-36.0873
19500.000000	83.925	-29.9323
19750.000000	82.527	-23.1010
